,tpc_num,E_SS,pTo_SS,Th_SS,Eh_SS,E_Arr,p0,AIC_SS,AIC_Arr,AICc_SS,AICc_Arr,LL_SS,LL_Arr,n,LkRatio,X2,p,best_mod,best_mod2,BA_pts,T0,SE_SS,SE_BA
80,134,1.318541817,0.025641357,25,2.571395913,1.080146519,0.029343242,-4.310270595,1.134231647,15.6897294,4.134231647,6.155135298,1.432884176,7,-4.722251121,9.444502243,0.004447566,SS,BA,NA,7.5,0.004988751,0.016827233
81,135,0.529294445,0.025738795,33.5,0.980644033,0.264343136,0.02444985,-13.16411439,-11.10349838,Inf,-5.103498383,10.58205719,7.551749192,5,-3.030308003,6.060616006,0.02415038,SS,BA,NA,16.5,0.000418265,0.000906275
82,136,0.426527271,0.022968243,38.44072299,1.321616773,0.270323924,0.023519188,-12.56187117,-11.41743098,Inf,-5.417430977,10.28093559,7.708715489,5,-2.572220098,5.144440195,0.038182909,SS,BA,NA,16.5,0.000442528,0.000839072
83,139,0.903096089,0.026536163,30,2.307315841,0.682082466,0.030884582,1.97271979,3.38122694,Inf,9.38122694,3.013640105,0.30938653,5,-2.704253575,5.40850715,0.033460128,SS,BA,NA,9,0.007124829,0.013721113
84,141,0.363471813,0.02740068,164.2311988,0.054908328,0.345619729,0.018800259,-12.81405349,-16.83321248,Inf,-10.83321248,10.40702674,10.41660624,5,0.009579499,-0.019158998,0,BA,BA,NA,11.5,0.000321202,0.000320714
85,143,1.27016203,0.004806869,25,3.667966118,0.961130317,0.005584733,-35.45947708,1.132577197,-75.45947708,13.1325772,21.72973854,1.433711402,4,-20.29602714,40.59205428,7.67E-10,BA,BA,NA,10,9.12E-06,0.002584602
86,146,1.092571178,0.01016777,31.42578611,5.759950645,0.9835176,0.010806876,-9.607798841,-7.174508614,30.39220116,-3.174508614,8.803899421,5.587254307,6,-3.216645114,6.433290227,0.020044664,SS,BA,NA,14,0.000757412,0.002407986
87,147,1.123646927,0.007636186,30,2.548094422,0.896356895,0.008955592,8.433870695,7.711231207,Inf,13.71123121,-0.216935348,-1.855615604,5,-1.638680256,3.277360512,0.097118108,BA,BA,NA,10,0.004100862,0.007718686
88,149,1.483879055,0.015720976,23.5,2.26259082,1.090584483,0.016694146,-14.56015512,-3.408454448,-54.56015512,8.591545552,11.28007756,3.704227224,4,-7.575850333,15.15170067,0.000256342,BA,BA,NA,11.5,0.000303233,0.003449855
89,150,1.167893655,0.01749376,24.5,1.876156323,0.987616314,0.019788657,-1.199001153,1.094295764,6.800998847,2.808581478,4.599500577,1.452852118,10,-3.146648459,6.293296917,0.021497994,SS,BA,NA,2,0.005898972,0.014238347
90,152,1.167916048,0.0483489,21,11.72044144,0.868321657,0.056241821,0.686672175,2.098105338,Inf,9.761392399,3.656663912,0.950947331,5,-2.705716581,5.411433163,0.033411211,SS,BA,NA,5,0.00945981,0.021834374
91,154,1.185058556,0.019870776,20,1.888324318,0.903519001,0.021553886,-23.63197402,-7.955414797,-3.631974017,-4.955414797,15.81598701,5.977707399,7,-9.83827961,19.67655922,2.67E-05,SS,BA,NA,5,0.000721336,0.003957478
92,155,1.346394748,0.038774241,32,1.760070831,0.923040869,0.040958277,-9.093657704,-6.935446687,0.906342296,-4.935446687,8.546828852,5.467723343,9,-3.079105509,6.158211017,0.023000193,SS,BA,NA,19,0.002485919,0.005956392
93,156,1.106430177,0.027058465,31.27583213,2.146514915,0.732725752,0.030409389,-28.35867687,-9.670176157,-15.02534354,-7.270176157,18.17933844,6.835088078,8,-11.34425036,22.68850071,5.92E-06,SS,BA,NA,16.5,0.0007051,0.003476837
